P18YM_PB,PSINDER,VPH_NDACMM,VPH_SINCINT
178.0,96.0,86.0,36.0
3205.0,1271.0,852.0,280.0
0.0,0.0,0.0,0.0
77.0,63.0,48.0,18.0
274.0,86.0,51.0,15.0
525.0,171.0,85.0,34.0
127.0,116.0,57.0,16.0
244.0,130.0,104.0,39.0
187.0,23.0,16.0,6.0
316.0,49.0,50.0,12.0
0.0,0.0,0.0,0.0
245.0,140.0,79.0,17.0
530.0,84.0,114.0,14.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
62.0,36.0,27.0,9.0
20.0,10.0,10.0,7.0
20.0,10.0,6.0,4.0
14.0,8.0,7.0,3.0
13.0,32.0,11.0,5.0
11.0,21.0,5.0,7.0
17.0,26.0,10.0,8.0
22.0,10.0,7.0,4.0
22.0,23.0,10.0,7.0
30.0,19.0,10.0,3.0
31.0,13.0,9.0,0.0
23.0,6.0,4.0,3.0
21.0,6.0,9.0,3.0
25.0,3.0,3.0,0.0
22.0,25.0,10.0,3.0
23.0,8.0,7.0,3.0
39.0,5.0,3.0,0.0
22.0,6.0,7.0,3.0
0.0,0.0,0.0,0.0
7.0,12.0,6.0,5.0
6.0,12.0,7.0,3.0
27.0,32.0,18.0,4.0
37.0,25.0,25.0,12.0
1765.0,722.0,512.0,159.0
87.0,34.0,20.0,4.0
59.0,22.0,22.0,3.0
45.0,23.0,11.0,4.0
54.0,27.0,16.0,8.0
62.0,31.0,15.0,4.0
76.0,19.0,24.0,9.0
67.0,27.0,26.0,11.0
65.0,29.0,19.0,7.0
57.0,16.0,15.0,7.0
45.0,18.0,20.0,3.0
67.0,19.0,17.0,5.0
52.0,32.0,22.0,6.0
47.0,15.0,19.0,8.0
59.0,24.0,26.0,7.0
76.0,40.0,15.0,5.0
61.0,28.0,19.0,10.0
65.0,36.0,16.0,3.0
110.0,35.0,23.0,8.0
64.0,24.0,15.0,6.0
53.0,20.0,16.0,7.0
27.0,13.0,10.0,4.0
54.0,18.0,14.0,6.0
99.0,57.0,33.0,12.0
